iter	Passed	Remaining
617	4831	2986
618	4832	2974
619	4834	2963
620	4836	2951
621	4837	2939
622	4839	2928
623	4840	2916
624	4842	2905
625	4844	2894
626	4845	2882
627	4847	2871
628	4848	2859
629	4850	2848
630	4851	2837
631	4853	2826
632	4854	2814
633	4856	2803
634	4858	2792
635	4861	2782
636	4862	2771
637	4864	2760
638	4866	2749
639	4867	2738
640	4868	2726
641	4870	2715
642	4872	2705
643	4873	2694
644	4875	2683
645	4877	2672
646	4878	2661
647	4879	2650
648	4881	2639
649	4882	2629
650	4884	2618
651	4885	2607
652	4887	2597
653	4889	2586
654	4890	2575
655	4891	2565
656	4892	2554
657	4894	2543
658	4896	2533
659	4897	2522
660	4898	2512
661	4900	2501
662	4901	2491
663	4903	2481
664	4905	2471
665	4907	2460
666	4908	2450
667	4910	2440
668	4911	2430
669	4912	2419
670	4914	2409
671	4915	2399
672	4917	2389
673	4919	2379
674	4920	2369
675	4922	2359
676	4924	2349
677	4925	2339
678	4927	2329
679	4928	2319
680	4929	2309
681	4931	2299
682	4933	2289
683	4935	2280
684	4936	2270
685	4937	2260
686	4939	2250
687	4940	2240
688	4942	2230
689	4943	2220
690	4944	2211
691	4946	2201
692	4947	2191
693	4949	2182
694	4951	2172
695	4952	2163
696	4954	2153
697	4955	2144
698	4957	2134
699	4958	2125
700	4960	2115
701	4961	2106
702	4963	2096
703	4964	2087
704	4966	2078
705	4967	2068
706	4969	2059
707	4970	2050
708	4972	2040
709	4973	2031
710	4975	2022
711	4976	2013
712	4978	2003
713	4979	1994
714	4981	1985
715	4982	1976
716	4984	1967
717	4985	1958
718	4987	1949
719	4988	1940
720	4990	1931
721	4992	1922
722	4993	1913
723	4994	1904
724	4996	1895
725	4997	1886
726	4998	1877
727	5000	1868
728	5001	1859
729	5003	1850
730	5004	1841
731	5005	1832
732	5007	1823
733	5008	1814
734	5009	1806
735	5011	1797
736	5012	1788
737	5014	1780
738	5015	1771
739	5016	1762
740	5018	1754
741	5019	1745
742	5021	1736
743	5022	1728
744	5024	1719
745	5025	1711
746	5026	1702
747	5028	1693
748	5029	1685
749	5031	1677
750	5032	1668
751	5034	1660
752	5035	1651
753	5036	1643
754	5038	1634
755	5039	1626
756	5041	1618
757	5043	1610
758	5044	1601
759	5045	1593
760	5047	1585
761	5048	1576
762	5050	1568
763	5051	1560
764	5052	1552
765	5054	1543
766	5055	1535
767	5057	1527
768	5058	1519
769	5060	1511
770	5062	1503
771	5063	1495
772	5065	1487
773	5066	1479
774	5067	1471
775	5069	1463
776	5070	1455
777	5072	1447
778	5073	1439
779	5075	1431
780	5076	1423
781	5077	1415
782	5079	1407
783	5080	1399
784	5081	1391
785	5082	1383
786	5084	1375
787	5085	1368
788	5086	1360
789	5088	1352
790	5089	1344
791	5091	1337
792	5093	1329
793	5095	1321
794	5096	1314
795	5098	1306
796	5100	1299
797	5102	1291
798	5106	1284
799	5113	1278
800	5116	1271
801	5118	1263
802	5119	1255
803	5121	1248
804	5122	1240
805	5124	1233
806	5125	1225
807	5126	1218
808	5128	1210
809	5129	1203
810	5131	1195
811	5132	1188
812	5134	1180
813	5135	1173
814	5136	1166
815	5138	1158
816	5139	1151
817	5141	1143
818	5142	1136
819	5143	1129
820	5145	1121
821	5146	1114
822	5148	1107
823	5150	1100
824	5151	1092
825	5153	1085
826	5155	1078
827	5156	1071
828	5158	1063
829	5159	1056
830	5161	1049
831	5168	1043
832	5173	1037
833	5175	1030
834	5176	1022
835	5178	1015
836	5180	1008
837	5181	1001
838	5183	994
839	5184	987
840	5186	980
841	5187	973
842	5189	966
843	5196	960
844	5200	953
845	5202	946
846	5203	939
847	5205	933
848	5207	926
849	5208	919
850	5210	912
851	5211	905
852	5213	898
853	5214	891
854	5216	884
855	5217	877
856	5219	870
857	5221	864
858	5222	857
859	5224	850
860	5225	843
861	5227	836
862	5229	830
863	5230	823
864	5231	816
865	5233	809
866	5235	803
867	5236	796
868	5238	789
869	5240	783
870	5242	776
871	5243	769
872	5244	763
873	5246	756
874	5247	749
875	5249	743
876	5250	736
877	5252	729
878	5254	723
879	5255	716
880	5257	710
881	5258	703
882	5259	696
883	5261	690
884	5262	683
885	5263	677
886	5265	670
887	5266	664
888	5268	657
889	5270	651
890	5271	644
891	5273	638
892	5274	631
893	5275	625
894	5276	619
895	5278	612
896	5279	606
897	5280	599
898	5282	593
899	5283	587
900	5285	580
901	5286	574
902	5288	568
903	5289	561
904	5290	555
905	5292	549
906	5293	542
907	5295	536
908	5297	530
909	5298	524
910	5300	517
